Country,min_obesity,max_obesity,min_malnutrition,max_malnutrition,obesity_trend,malnutrition_trend
Botswana,2.23747,26.4899,6.84625,19.6635,Obesity ↑,Malnutrition ↑
Marshall Islands,8.14232,56.3871,0.919029,4.31844,Obesity ↑,Malnutrition ↑
Canada,7.80249,28.742,0.673697,2.86242,Obesity ↑,Malnutrition ↑
Indonesia,2.77465,16.3794,6.92081,14.6943,Obesity ↑,Malnutrition ↑
Senegal,0.64296,13.5419,10.9875,24.4128,Obesity ↑,Malnutrition ↑
Sweden,4.28838,17.624,0.58742,2.62775,Obesity ↑,Malnutrition ↑
Chad,0.976776,6.78737,8.17803,18.0822,Obesity ↑,Malnutrition ↑
Andorra,7.42104,22.6707,1.16067,3.38352,Obesity ↑,Malnutrition ↑
Papua New Guinea,5.07163,25.134,0.928005,4.48647,Obesity ↑,Malnutrition ↑
India,1.09485,9.32488,13.0735,31.9008,Obesity ↑,Malnutrition ↑
Syrian Arab Republic,10.1714,37.9703,2.56549,6.50437,Obesity ↑,Malnutrition ↑
Morocco,3.6721,30.8121,2.71196,7.33343,Obesity ↑,Malnutrition ↑
Egypt,10.4672,56.0083,0.893385,4.32523,Obesity ↑,Malnutrition ↑
Haiti,1.61948,23.9341,3.66961,16.5401,Obesity ↑,Malnutrition ↑
Colombia,4.67421,29.3854,1.39665,3.27481,Obesity ↑,Malnutrition ↑
Tunisia,5.45749,36.1087,3.22089,7.72468,Obesity ↑,Malnutrition ↑
Japan,1.94154,7.35303,1.36266,13.271,Obesity ↑,Malnutrition ↑
Timor-Leste,0.609007,2.89187,10.2675,27.6195,Obesity ↑,Malnutrition ↑
French Polynesia,13.4469,50.1977,0.617689,2.23638,Obesity ↑,Malnutrition ↑
"Moldova, Republic of",2.0658,29.9218,0.937674,3.92621,Obesity ↑,Malnutrition ↑
Hungary,6.91558,38.5169,0.813048,3.48757,Obesity ↑,Malnutrition ↑
Denmark,3.24033,16.6509,0.866159,3.70718,Obesity ↑,Malnutrition ↑
Zimbabwe,0.695374,18.9079,2.22085,12.5003,Obesity ↑,Malnutrition ↑
Bangladesh,0.898614,7.58382,11.2239,27.4586,Obesity ↑,Malnutrition ↑
Low & Middle Income,2.23184,15.1599,10.892,23.1185,Obesity ↑,Malnutrition ↑
Ireland,7.27355,32.3991,0.680597,2.19417,Obesity ↑,Malnutrition ↑
Russian Federation,2.47264,30.2072,1.48492,3.74804,Obesity ↑,Malnutrition ↑
Norway,4.57795,21.0532,0.553821,2.17649,Obesity ↑,Malnutrition ↑
North Macedonia,4.79476,30.8987,1.00825,4.95539,Obesity ↑,Malnutrition ↑
Nepal,0.710091,8.36816,8.61573,19.8601,Obesity ↑,Malnutrition ↑
Somalia,1.04752,20.2929,4.6889,25.5217,Obesity ↑,Malnutrition ↑
Oman,10.3978,38.7094,3.57709,8.96413,Obesity ↑,Malnutrition ↑
Sri Lanka,2.75286,14.2044,11.1133,25.667,Obesity ↑,Malnutrition ↑
Luxembourg,4.80788,22.3217,0.610634,3.09695,Obesity ↑,Malnutrition ↑
Eastern Mediterranean Region,6.37966,33.3849,6.10494,15.454,Obesity ↑,Malnutrition ↑
Türkiye,6.27391,42.7479,1.57284,2.88777,Obesity ↑,Malnutrition ↑
Niger,0.97912,8.09081,10.2224,24.8934,Obesity ↑,Malnutrition ↑
Tokelau,15.3827,72.4867,0.506558,1.77916,Obesity ↑,Malnutrition ↑
Mauritius,5.4302,25.6435,5.57276,12.5664,Obesity ↑,Malnutrition ↑
Upper Middle Income,4.87637,18.4716,3.59393,6.34477,Obesity ↑,Malnutrition ↑
Jordan,9.54613,40.2198,2.49246,4.89316,Obesity ↑,Malnutrition ↑
Madagascar,0.265672,5.79844,5.19162,21.326,Obesity ↑,Malnutrition ↑
Viet Nam,0.594842,14.2363,7.17039,20.8314,Obesity ↑,Malnutrition ↑
Liberia,1.38846,19.7871,1.86049,11.4248,Obesity ↑,Malnutrition ↑
Uganda,0.362548,11.998,4.61177,12.1423,Obesity ↑,Malnutrition ↑
Tajikistan,1.13047,23.6294,3.62324,12.0063,Obesity ↑,Malnutrition ↑
Togo,1.55613,15.8803,3.07819,10.463,Obesity ↑,Malnutrition ↑
Kazakhstan,2.57383,20.0664,1.81426,6.83124,Obesity ↑,Malnutrition ↑
Lebanon,7.9013,32.9845,1.55326,3.04734,Obesity ↑,Malnutrition ↑
Puerto Rico,12.662,46.4985,2.05657,5.0597,Obesity ↑,Malnutrition ↑
Cabo Verde,1.08948,22.1922,4.95247,10.2033,Obesity ↑,Malnutrition ↑
Barbados,15.3237,48.2199,2.93447,5.39281,Obesity ↑,Malnutrition ↑
Cuba,8.39429,28.4744,3.84088,7.60356,Obesity ↑,Malnutrition ↑
Tuvalu,13.5665,70.9794,0.401788,3.42793,Obesity ↑,Malnutrition ↑
Brazil,6.88055,32.5406,2.26433,4.15114,Obesity ↑,Malnutrition ↑
Slovenia,6.00758,27.5484,0.661665,2.64507,Obesity ↑,Malnutrition ↑
Pakistan,2.15515,24.5448,8.21369,25.9506,Obesity ↑,Malnutrition ↑
Mali,2.0365,11.3572,5.08519,17.3112,Obesity ↑,Malnutrition ↑
Spain,6.62104,23.1345,0.637883,2.78558,Obesity ↑,Malnutrition ↑
Philippines,1.8693,10.1784,7.39603,13.7895,Obesity ↑,Malnutrition ↑
Israel,6.75165,23.6282,2.08514,4.58161,Obesity ↑,Malnutrition ↑
Yemen,3.30097,16.8876,11.3099,20.7614,Obesity ↑,Malnutrition ↑
Bhutan,2.65575,15.3596,3.03955,11.1652,Obesity ↑,Malnutrition ↑
Saudi Arabia,7.50215,44.4622,3.18909,16.4395,Obesity ↑,Malnutrition ↑
Cameroon,1.16983,18.8684,2.21917,8.31197,Obesity ↑,Malnutrition ↑
Ethiopia,0.387323,3.91443,7.55397,29.304,Obesity ↑,Malnutrition ↑
Mexico,12.0967,40.3176,1.39246,2.78605,Obesity ↑,Malnutrition ↑
Mozambique,0.573996,11.9883,2.42459,12.1479,Obesity ↑,Malnutrition ↑
Burundi,0.712287,5.80754,5.70668,18.0077,Obesity ↑,Malnutrition ↑
